OSF.surprised,OSF.upset,OSF.angry,OSF.jealous,OSF.happy,OSF.threatened,OSF.relieved,OSF.sad,SSF.surprised,SSF.upset,SSF.angry,SSF.jealous,SSF.happy,SSF.threatened,SSF.relieved,SSF.sad,Rom.surprised,Rom.upset,Rom.angry,Rom.jealous,Rom.happy,Rom.threatened,Rom.relieved,Rom.sad,Age.Participant,Relationship.Status.Participant,Gender,Sexual.Orientation.Participant,Age.Friend,OSF.closer.SSF,Friendship.Duration.Wks,Meeting.type,InPerson.communication.type,Phone.communication.type,SocialNetwork.communication.type,Email.communication.type,Contact.Frequency,Sexual.Orientation.Friend,Comparison.Attractive,Romantic.Attraction.tofriend,Sexual.Attraction.tofriend,Clearly.Dating.Their.OSF
3,3,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,5,1,3,2,19,3,1,2,21,2,364,5,1,1,2,2,4,2,5,1,1,2
2,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,5,5,5,1,1,1,1,5,20,3,2,2,20,2,104,1,1,1,1,2,1,2,3,1,1,2
1,1,1,2,5,1,1,1,2,1,1,3,4,2,3,1,4,2,1,3,3,1,1,1,19,1,1,2,18,2,263,5,1,1,1,2,1,2,6,4,5,2
2,1,1,3,3,1,3,1,1,3,1,5,2,4,2,5,5,3,5,5,5,5,1,5,18,3,1,2,19,1,30,5,1,1,1,2,1,2,7,7,7,2
2,2,1,3,4,4,3,3,5,4,4,3,3,5,2,4,2,3,2,3,3,2,1,4,18,1,1,2,18,2,16,4,1,2,2,2,1,2,6,5,4,2
1,1,1,1,4,2,1,1,1,1,1,1,2,1,2,1,4,2,2,2,2,1,1,1,18,1,2,2,18,2, ,5,1,1,1,2,2,2,3,1,1,2
2,1,1,1,4,1,1,1,1,1,1,1,5,2,1,1,1,1,1,1,3,2,1,1,18,3,2,2,18,1,208,1,1,1,1,2,1,2,5,1,1,2
2,1,1,1,3,1,1,1,2,1,1,1,3,1,2,1,5,3,1,1,2,1,1,1,19,1,2,2,19,2,52,1,1,1,1,2,1,3,5,1,1,2
3,1,1,2,3,1,1,1,5,2,1,3,2,3,1,2,5,1,2,1,1,2,1,2,21,3,1,2,20,2,104,5,1,1,2,2,1,2,5,5,6,2
4,3,2,2,3,1,2,1,1,1,1,1,5,1,5,1,3,1,2,3,1,2,4,3,20,1,1,2,18,1,172,2,1,1,2,2,2,1,4,2,1,2
3,1,2,3,1,2,4,3,5,1,1,1,5,1,4,1,2,3,1,5,1,3,1,5,21,3,1,2,20,2,17,1,2,2,2,1,5,4,4,4,4,2
